Experiment,Cell,Molecule Name,IC50 (uM),Hill,PGP,Hour_after
Mavda,TMPRSS2,ASAP-0014770,0.599,-5.09,1,48
Mavda,TMPRSS2,ASAP-0014770,0.432,-11.2,1,48
Mavda,TMPRSS2,ASAP-0014764,0.505,-2.29,1,48
Mavda,TMPRSS2,ASAP-0014764,0.353,-2.76,1,48
Mavda,TMPRSS2,ASAP-0014762,4.6,-2.71,1,48
Mavda,TMPRSS2,ASAP-0014762,7.44,-4.7,1,48
Mavda,TMPRSS2,ASAP-0014758,6.04,-3.99,1,48
Mavda,TMPRSS2,ASAP-0014758,3.88,-2.14,1,48
Mavda,TMPRSS2,ASAP-0014753,0.527,-3.78,1,48
Mavda,TMPRSS2,ASAP-0014753,0.429,-5.56,1,48
Mavda,TMPRSS2,ASAP-0014750,0.252,-3.9,1,48
Mavda,TMPRSS2,ASAP-0014750,0.146,-2.78,1,48
Mavda,TMPRSS2,ASAP-0014745,4.16,-11.1,1,48
Mavda,TMPRSS2,ASAP-0014745,3.8,-11.9,1,48
Mavda,TMPRSS2,ASAP-0014717,0.755,-3.56,1,48
Mavda,TMPRSS2,ASAP-0014717,0.524,-2.84,1,48
Mavda,TMPRSS2,ASAP-0014632,2.02,-3,1,48
Mavda,TMPRSS2,ASAP-0014632,1.88,-3.4,1,48
Mavda,TMPRSS2,ASAP-0014612,5.13,-2.74,1,48
Mavda,TMPRSS2,ASAP-0014612,4.96,-3.04,1,48
Mavda,TMPRSS2,ASAP-0014551,4.13,-9.6,1,48
Mavda,TMPRSS2,ASAP-0014551,3.84,,1,48
Mavda,TMPRSS2,ASAP-0013925,0.72,-3.14,1,48
Mavda,TMPRSS2,ASAP-0013925,0.59,-3.01,1,48
Mavda,TMPRSS2,ASAP-0013898,1.04,-2.82,1,48
Mavda,TMPRSS2,ASAP-0013898,0.843,-3.17,1,48
Mavda,TMPRSS2,ASAP-0013894,1.35,-11.6,1,48
Mavda,TMPRSS2,ASAP-0013894,1.31,-15.2,1,48
Mavda,TMPRSS2,ASAP-0013892,12.5,-1.88,1,48
Mavda,TMPRSS2,ASAP-0013892,6.28,-2.52,1,48
